researcher_id,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email,pub_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status
R023,Ivan,Petrov,Machine Learning,University of Toronto,2011,15,45,True,Canada,ivan.petrov@university.edu,P018,Federated Learning for Privacy Preservation,2010.0,47.0,EMNLP,False,G004,CFI,2019.0,80000.0,AI for Climate,completed
R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,P002,Multi-lingual BERT Fine-Tuning,2016.0,197.0,CVPR,True,G007,Mitacs,2017.0,90000.0,Data for Good,active
R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,P053,Efficient Data Pipelines at Scale,2021.0,153.0,EMNLP,False,G007,Mitacs,2017.0,90000.0,Data for Good,active
R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,P020,Graph Neural Networks for Molecule Prediction,2013.0,151.0,JMLR,True,G007,Mitacs,2017.0,90000.0,Data for Good,active
R031,Jiyeon,Park,Statistics,MIT,2008,9,27,True,UK,jiyeon.park@university.edu,P055,Self-Supervised Learning in Vision,2021.0,143.0,ICML,False,G019,CIHR,2021.0,60000.0,Healthcare NLP,active
R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,P046,Efficient Data Pipelines at Scale,2022.0,115.0,ICLR,False,G012,CIHR,2018.0,85000.0,Data for Good,pending
R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,P046,Efficient Data Pipelines at Scale,2022.0,115.0,ICLR,False,G029,CFI,2018.0,129000.0,Multilingual Models,completed
R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,P012,Bias in NLP Benchmarks: A Critical Review,2022.0,2.0,ACL,True,G012,CIHR,2018.0,85000.0,Data for Good,pending
R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,P012,Bias in NLP Benchmarks: A Critical Review,2022.0,2.0,ACL,True,G029,CFI,2018.0,129000.0,Multilingual Models,completed
R022,Minh,Nguyen,Statistics,McGill University,2017,17,51,False,France,minh.nguyen@university.edu,P014,Multi-lingual BERT Fine-Tuning,2013.0,160.0,JMLR,True,G010,CFI,2022.0,70000.0,Multilingual Models,completed
R016,Li,Chen,Machine Learning,McGill University,2008,7,21,True,Germany,li.chen@university.edu,P019,Efficient Data Pipelines at Scale,2018.0,98.0,JMLR,False,G009,CIHR,2019.0,110000.0,Healthcare NLP,pending
